Index,Sample_Value,Label
852,120,raw_audio
853,117,raw_audio
854,122,raw_audio
855,122,raw_audio
856,120,raw_audio
857,118,raw_audio
858,119,raw_audio
859,121,raw_audio
860,119,raw_audio
861,120,raw_audio
862,119,raw_audio
863,120,raw_audio
864,119,raw_audio
865,103,raw_audio
866,122,raw_audio
867,132,raw_audio
868,121,raw_audio
869,119,raw_audio
870,125,raw_audio
871,125,raw_audio
872,123,raw_audio
873,121,raw_audio
874,122,raw_audio
875,122,raw_audio
876,123,raw_audio
877,123,raw_audio
878,122,raw_audio
879,121,raw_audio
880,120,raw_audio
881,103,raw_audio
882,119,raw_audio
883,134,raw_audio
884,123,raw_audio
885,118,raw_audio
886,122,raw_audio
887,122,raw_audio
888,120,raw_audio
889,118,raw_audio
890,119,raw_audio
891,122,raw_audio
892,120,raw_audio
893,118,raw_audio
894,119,raw_audio
895,121,raw_audio
896,120,raw_audio
897,102,raw_audio
898,114,raw_audio
899,132,raw_audio
900,123,raw_audio
901,118,raw_audio
902,122,raw_audio
903,121,raw_audio
904,119,raw_audio
905,119,raw_audio
906,121,raw_audio
907,121,raw_audio
908,120,raw_audio
909,120,raw_audio
910,120,raw_audio
911,121,raw_audio
912,123,raw_audio
913,109,raw_audio
914,115,raw_audio
915,133,raw_audio
916,126,raw_audio
917,120,raw_audio
918,122,raw_audio
919,123,raw_audio
920,123,raw_audio
921,121,raw_audio
922,122,raw_audio
923,122,raw_audio
924,121,raw_audio
925,122,raw_audio
926,122,raw_audio
927,121,raw_audio
928,122,raw_audio
929,113,raw_audio
930,110,raw_audio
931,130,raw_audio
932,127,raw_audio
933,120,raw_audio
934,121,raw_audio
935,122,raw_audio
936,120,raw_audio
937,119,raw_audio
938,119,raw_audio
939,121,raw_audio
940,120,raw_audio
941,118,raw_audio
942,119,raw_audio
943,121,raw_audio
944,120,raw_audio
945,113,raw_audio
946,108,raw_audio
947,129,raw_audio
948,129,raw_audio
949,118,raw_audio
950,122,raw_audio
951,126,raw_audio
952,122,raw_audio
953,121,raw_audio
954,119,raw_audio
955,121,raw_audio
956,121,raw_audio
957,119,raw_audio
958,121,raw_audio
959,120,raw_audio
960,119,raw_audio
961,119,raw_audio
962,107,raw_audio
963,128,raw_audio
964,127,raw_audio
965,121,raw_audio
966,122,raw_audio
967,122,raw_audio
968,120,raw_audio
969,120,raw_audio
970,119,raw_audio
971,121,raw_audio
972,123,raw_audio
973,121,raw_audio
974,120,raw_audio
975,119,raw_audio
976,122,raw_audio
977,122,raw_audio
978,103,raw_audio
979,125,raw_audio
980,132,raw_audio
981,119,raw_audio
982,118,raw_audio
983,123,raw_audio
984,123,raw_audio
985,120,raw_audio
986,119,raw_audio
987,121,raw_audio
988,122,raw_audio
989,120,raw_audio
990,119,raw_audio
991,121,raw_audio
992,121,raw_audio
993,121,raw_audio
994,103,raw_audio
995,122,raw_audio
996,133,raw_audio
997,123,raw_audio
998,119,raw_audio
999,123,raw_audio
1000,122,raw_audio
1001,120,raw_audio
1002,119,raw_audio
1003,121,raw_audio
1004,124,raw_audio
1005,121,raw_audio
1006,121,raw_audio
1007,122,raw_audio
1008,121,raw_audio
1009,122,raw_audio
1010,105,raw_audio
1011,118,raw_audio
1012,134,raw_audio
1013,123,raw_audio
1014,119,raw_audio
1015,123,raw_audio
1016,121,raw_audio
1017,119,raw_audio
1018,119,raw_audio
1019,121,raw_audio
1020,121,raw_audio
1021,119,raw_audio
1022,121,raw_audio
1023,119,raw_audio
1024,120,raw_audio
1025,119,raw_audio
1026,106,raw_audio
1027,115,raw_audio
1028,132,raw_audio
1029,124,raw_audio
1030,118,raw_audio
1031,123,raw_audio
1032,123,raw_audio
1033,120,raw_audio
1034,117,raw_audio
1035,119,raw_audio
1036,122,raw_audio
1037,120,raw_audio
1038,118,raw_audio
1039,119,raw_audio
1040,121,raw_audio
1041,120,raw_audio
1042,106,raw_audio
1043,111,raw_audio
1044,133,raw_audio
1045,126,raw_audio
1046,119,raw_audio
1047,123,raw_audio
1048,124,raw_audio
1049,121,raw_audio
1050,118,raw_audio
1051,121,raw_audio
1052,123,raw_audio
1053,121,raw_audio
1054,120,raw_audio
1055,119,raw_audio
1056,120,raw_audio
1057,121,raw_audio
1058,113,raw_audio
1059,109,raw_audio
1060,131,raw_audio
1061,128,raw_audio
1062,116,raw_audio
1063,119,raw_audio
1064,125,raw_audio
1065,122,raw_audio
1066,119,raw_audio
1067,119,raw_audio
1068,120,raw_audio
1069,119,raw_audio
1070,120,raw_audio
1071,120,raw_audio
1072,119,raw_audio
1073,121,raw_audio
1074,116,raw_audio
1075,106,raw_audio
1076,128,raw_audio
1077,127,raw_audio
1078,121,raw_audio
1079,122,raw_audio
1080,121,raw_audio
1081,120,raw_audio
1082,118,raw_audio
1083,119,raw_audio
1084,120,raw_audio
1085,120,raw_audio
1086,118,raw_audio
1087,121,raw_audio
1088,122,raw_audio
1089,121,raw_audio
1090,119,raw_audio
1091,105,raw_audio
1092,127,raw_audio
1093,131,raw_audio
1094,121,raw_audio
1095,119,raw_audio
1096,123,raw_audio
1097,124,raw_audio
1098,120,raw_audio
1099,119,raw_audio
1100,121,raw_audio
1101,123,raw_audio
1102,121,raw_audio
1103,120,raw_audio
1104,120,raw_audio
1105,119,raw_audio
1106,121,raw_audio
1107,105,raw_audio
1108,123,raw_audio
1109,133,raw_audio
1110,122,raw_audio
1111,117,raw_audio
1112,122,raw_audio
1113,122,raw_audio
1114,119,raw_audio
1115,119,raw_audio
1116,121,raw_audio
1117,120,raw_audio
1118,119,raw_audio
1119,120,raw_audio
1120,121,raw_audio
1121,120,raw_audio
1122,120,raw_audio
1123,102,raw_audio
1124,119,raw_audio
1125,134,raw_audio
1126,123,raw_audio
1127,119,raw_audio
1128,124,raw_audio
1129,124,raw_audio
1130,121,raw_audio
1131,122,raw_audio
1132,123,raw_audio
1133,124,raw_audio
1134,122,raw_audio
1135,120,raw_audio
1136,121,raw_audio
1137,121,raw_audio
1138,122,raw_audio
1139,104,raw_audio
1140,117,raw_audio
1141,134,raw_audio
1142,124,raw_audio
1143,118,raw_audio
1144,122,raw_audio
1145,123,raw_audio
1146,122,raw_audio
1147,119,raw_audio
1148,121,raw_audio
1149,120,raw_audio
1150,118,raw_audio
1151,119,raw_audio
1152,121,raw_audio
1153,119,raw_audio
1154,119,raw_audio
1155,107,raw_audio
1156,113,raw_audio
1157,131,raw_audio
1158,123,raw_audio
1159,118,raw_audio
1160,121,raw_audio
1161,121,raw_audio
1162,119,raw_audio
1163,118,raw_audio
1164,121,raw_audio
1165,120,raw_audio
1166,119,raw_audio
1167,121,raw_audio
1168,121,raw_audio
1169,120,raw_audio
1170,119,raw_audio
1171,111,raw_audio
1172,113,raw_audio
1173,132,raw_audio
1174,124,raw_audio
1175,119,raw_audio
1176,123,raw_audio
1177,123,raw_audio
1178,121,raw_audio
1179,119,raw_audio
1180,119,raw_audio
1181,120,raw_audio
1182,120,raw_audio
1183,118,raw_audio
1184,121,raw_audio
1185,121,raw_audio
1186,119,raw_audio
1187,113,raw_audio
1188,107,raw_audio
1189,129,raw_audio
1190,127,raw_audio
1191,120,raw_audio
1192,122,raw_audio
1193,122,raw_audio
1194,121,raw_audio
1195,121,raw_audio
1196,121,raw_audio
1197,120,raw_audio
1198,120,raw_audio
1199,120,raw_audio
1200,121,raw_audio
1201,122,raw_audio
1202,121,raw_audio
1203,117,raw_audio
1204,106,raw_audio
1205,129,raw_audio
1206,129,raw_audio
1207,119,raw_audio
1208,122,raw_audio
1209,125,raw_audio
1210,123,raw_audio
1211,122,raw_audio
1212,121,raw_audio
1213,121,raw_audio
1214,121,raw_audio
1215,121,raw_audio
1216,120,raw_audio
1217,119,raw_audio
1218,121,raw_audio
1219,120,raw_audio
1220,103,raw_audio
1221,126,raw_audio
1222,132,raw_audio
1223,119,raw_audio
1224,118,raw_audio
1225,123,raw_audio
1226,122,raw_audio
1227,120,raw_audio
1228,118,raw_audio
1229,120,raw_audio
1230,121,raw_audio
1231,120,raw_audio
1232,120,raw_audio
1233,119,raw_audio
1234,122,raw_audio
1235,121,raw_audio
1236,103,raw_audio
1237,122,raw_audio
1238,132,raw_audio
1239,120,raw_audio
1240,117,raw_audio
1241,122,raw_audio
1242,122,raw_audio
1243,119,raw_audio
1244,119,raw_audio
1245,121,raw_audio
1246,120,raw_audio
1247,119,raw_audio
1248,121,raw_audio
1249,122,raw_audio
1250,121,raw_audio
1251,121,raw_audio
1252,104,raw_audio
1253,119,raw_audio
1254,134,raw_audio
1255,124,raw_audio
1256,119,raw_audio
1257,123,raw_audio
1258,123,raw_audio
1259,122,raw_audio
1260,119,raw_audio
1261,122,raw_audio
1262,122,raw_audio
1263,121,raw_audio
1264,121,raw_audio
1265,121,raw_audio
1266,122,raw_audio
1267,122,raw_audio
1268,105,raw_audio
1269,117,raw_audio
1270,135,raw_audio
1271,126,raw_audio
1272,120,raw_audio
1273,121,raw_audio
1274,122,raw_audio
1275,122,raw_audio
1276,120,raw_audio
1277,121,raw_audio
1278,122,raw_audio
1279,122,raw_audio
1280,120,raw_audio
1281,120,raw_audio
1282,120,raw_audio
1283,120,raw_audio
1284,107,raw_audio
1285,115,raw_audio
1286,133,raw_audio
1287,125,raw_audio
1288,118,raw_audio
1289,121,raw_audio
1290,122,raw_audio
1291,121,raw_audio
1292,119,raw_audio
1293,122,raw_audio
1294,122,raw_audio
1295,119,raw_audio
1296,121,raw_audio
1297,120,raw_audio
1298,119,raw_audio
1299,120,raw_audio
1300,110,raw_audio
1301,109,raw_audio
1302,129,raw_audio
1303,125,raw_audio
1304,117,raw_audio
1305,121,raw_audio
1306,121,raw_audio
1307,119,raw_audio
1308,121,raw_audio
1309,120,raw_audio
1310,119,raw_audio
1311,122,raw_audio
1312,122,raw_audio
1313,120,raw_audio
1314,121,raw_audio
1315,121,raw_audio
1316,115,raw_audio
1317,108,raw_audio
1318,128,raw_audio
1319,125,raw_audio
1320,118,raw_audio
1321,120,raw_audio
1322,120,raw_audio
1323,118,raw_audio
1324,120,raw_audio
1325,120,raw_audio
1326,119,raw_audio
1327,122,raw_audio
1328,123,raw_audio
1329,121,raw_audio
1330,121,raw_audio
1331,121,raw_audio
1332,118,raw_audio
1333,107,raw_audio
1334,129,raw_audio
1335,129,raw_audio
1336,118,raw_audio
1337,121,raw_audio
1338,124,raw_audio
1339,122,raw_audio
1340,120,raw_audio
1341,118,raw_audio
1342,119,raw_audio
1343,122,raw_audio
1344,121,raw_audio
1345,119,raw_audio
1346,121,raw_audio
1347,121,raw_audio
1348,120,raw_audio
1349,104,raw_audio
1350,124,raw_audio
1351,131,raw_audio
1352,121,raw_audio
1353,118,raw_audio
1354,121,raw_audio
1355,121,raw_audio
1356,119,raw_audio
1357,119,raw_audio
